,날짜,상대팀,결과
0,04.02(토),롯데,win
1,04.03(일),롯데,win
2,04.05(화),LG,win
3,04.07(목),LG,lose
4,04.08(금),현대,lose
5,04.09(토),현대,win
6,04.12(화),KIA,win
7,04.13(수),KIA,win
8,04.14(목),KIA,win
9,04.15(금),SK,lose
10,04.16(토),SK,win
11,04.17(일),SK,win
12,04.19(화),두산,lose
13,04.20(수),두산,lose
14,04.21(목),두산,lose
15,04.22(금),한화,win
16,04.23(토),한화,lose
17,04.24(일),한화,win
18,04.26(화),LG,lose
19,04.27(수),LG,win
20,04.28(목),LG,win
21,04.29(금),KIA,win
22,04.30(토),KIA,win
23,04.02(토),롯데,win
24,04.03(일),롯데,win
25,04.05(화),LG,win
26,04.07(목),LG,lose
27,04.08(금),현대,lose
28,04.09(토),현대,win
29,04.12(화),KIA,win
30,04.13(수),KIA,win
31,04.14(목),KIA,win
32,04.15(금),SK,lose
33,04.16(토),SK,win
34,04.17(일),SK,win
35,04.19(화),두산,lose
36,04.20(수),두산,lose
37,04.21(목),두산,lose
38,04.22(금),한화,win
39,04.23(토),한화,lose
40,04.24(일),한화,win
41,04.26(화),LG,lose
42,04.27(수),LG,win
43,04.28(목),LG,win
44,04.29(금),KIA,win
45,04.30(토),KIA,win
46,05.01(일),KIA,win
47,05.03(화),롯데,win
48,05.04(수),롯데,win
49,05.05(목),롯데,lose
50,05.07(토),한화,win
51,05.08(일),한화,win
52,05.10(화),두산,win
53,05.11(수),두산,lose
54,05.12(목),두산,win
55,05.13(금),현대,win
56,05.14(토),현대,lose
57,05.15(일),현대,win
58,05.17(화),롯데,lose
59,05.18(수),롯데,win
60,05.19(목),롯데,win
61,05.20(금),한화,win
62,05.21(토),한화,win
63,05.22(일),한화,lose
64,05.24(화),SK,win
65,05.25(수),SK,win
66,05.26(목),SK,win
67,05.27(금),LG,lose
68,05.28(토),LG,win
69,05.29(일),LG,win
70,05.31(화),롯데,win
71,06.02(목),롯데,lose
72,06.04(토),KIA,win
73,06.05(일),KIA,win
74,06.06(월),KIA,win
75,06.07(화),두산,lose
76,06.08(수),두산,lose
77,06.09(목),두산,lose
78,06.10(금),현대,lose
79,06.11(토),현대,win
80,06.12(일),현대,win
81,06.15(수),LG,lose
82,06.16(목),LG,win
83,06.17(금),SK,draw
84,06.18(토),SK,lose
85,06.19(일),SK,lose
86,06.21(화),현대,win
87,06.22(수),현대,lose
88,06.23(목),현대,win
89,06.24(금),SK,win
90,06.25(토),SK,lose
91,06.26(일),SK,lose
92,06.28(화),한화,lose
93,06.29(수),한화,lose
94,06.30(목),한화,lose
95,07.02(토),현대,draw
96,07.05(화),KIA,lose
97,07.06(수),KIA,win
98,07.07(목),KIA,win
99,07.08(금),두산,win
100,07.10(일),두산,lose
101,07.12(화),현대,lose
102,07.13(수),현대,win
103,07.14(목),현대,lose
104,07.19(화),롯데,win
105,07.20(수),롯데,win
106,07.21(목),롯데,lose
107,07.22(금),KIA,win
108,07.23(토),KIA,win
109,07.24(일),KIA,lose
110,07.26(화),한화,lose
111,07.27(수),한화,win
112,07.29(금),두산,win
113,07.30(토),두산,win
114,07.31(일),두산,win
115,08.03(수),SK,lose
116,08.04(목),SK,lose
117,08.05(금),LG,lose
118,08.06(토),LG,lose
119,08.07(일),LG,win
120,08.09(화),한화,win
121,08.13(토),롯데,win
122,08.14(일),롯데,win
123,08.16(화),두산,draw
124,08.17(수),두산,win
125,08.20(토),KIA,lose
126,08.23(화),LG,win
127,08.25(목),LG,win
128,08.26(금),SK,draw
129,08.27(토),SK,lose
130,08.28(일),SK,win
131,08.30(화),롯데,win
132,08.31(수),롯데,win
133,09.01(목),롯데,win
134,09.02(금),두산,win
135,09.03(토),LG,lose
136,09.04(일),LG,win
137,09.07(수),SK,lose
138,09.10(토),한화,win
139,09.11(일),한화,win
140,09.14(수),현대,lose
141,09.15(목),현대,lose
142,09.16(금),현대,lose
143,09.17(토),한화,win
144,09.20(화),LG,lose
145,09.21(수),KIA,win
146,09.22(목),KIA,win
147,09.24(토),두산,lose
148,09.28(수),한화,win
